id,file,source_keif_v2,src_w,src_h,out_w,out_h,crop,stamp,corner,corner_pct_of_width,webp_q,psnr_db,kb
294,keif-aldiafa-generic-stock-fruit-topped-puff-pastries-on-stand.webp,pastry/fruit-pie.webp,575,653,575,653,,corner,bl,8.7,94,41.9,62
295,keif-aldiafa-generic-stock-glass-of-red-drink-with-petals-and-straw.webp,cold-drinks/sobia.webp,828,683,828,683,,corner,tr,7.4,88,42.0,50
296,keif-aldiafa-generic-stock-halved-fig-and-whole-fig-on-table.webp,fruits/saudi-fresh-figs-luxury-hospitality-fruit.webp,970,646,970,646,,corner,tr,6.6,84,42.0,55
297,keif-aldiafa-generic-stock-iced-coffee-glass-on-marble-table.webp,cold-drinks/iced-latte.webp,500,750,500,750,,corner,tr,10.0,90,42.0,42
298,keif-aldiafa-generic-stock-kunafa-melted-cheese-on-fork.webp,sweets/kunafa.webp,735,1099,735,1099,,corner,bl,9.9,86,42.2,63
299,keif-aldiafa-generic-stock-loaded-nachos-with-cheese-guacamole-sour-cream.webp,snacks/saudi-loaded-nachos-cheese-jalapeno-vip-snacks.webp,1100,1100,1100,1100,,corner,tr,8.2,92,42.1,184
300,keif-aldiafa-generic-stock-mini-flatbreads-with-various-toppings-on-board.webp,pastry/appetizers.webp,720,720,720,720,,corner,br,8.2,92,42.1,79
301,keif-aldiafa-generic-stock-mini-margherita-pizzas-on-slate.webp,snacks/saudi-mini-margherita-pizza-luxury-catering-finger-food.webp,1100,1100,1100,1100,,corner,br,8.2,92,42.2,169
302,keif-aldiafa-generic-stock-mint-lime-mojito-bottle-poolside.webp,cold-drinks/mojito.webp,340,509,340,509,,corner,tr,11.5,94,40.2,37
303,keif-aldiafa-generic-stock-mozzarella-sticks-on-slate-with-marinara.webp,snacks/saudi-crispy-mozzarella-cheese-sticks-marinara-snacks.webp,1100,1100,1100,1100,,corner,tl,8.2,87,42.2,122
304,keif-aldiafa-generic-stock-plate-of-spring-rolls-with-chili-sauce.webp,snacks/saudi-crispy-spring-rolls-sweet-chili-luxury-snacks.webp,1100,1100,1100,1100,,corner,br,8.2,87,42.2,106
305,keif-aldiafa-generic-stock-pomegranate-half-on-white.webp,fruits/saudi-fresh-pomegranate-premium-catering-fruit.webp,969,1024,969,1024,,corner,br,8.4,86,42.7,113
306,keif-aldiafa-generic-stock-potato-wedges-slate-dip.webp,snacks/saudi-crispy-golden-potato-wedges-rosemary-catering.webp,1100,1100,1100,1100,,corner,br,8.2,87,42.2,122
307,keif-aldiafa-generic-stock-red-iced-drink-with-mint-garnish.webp,cold-drinks/karkade.webp,1024,768,1024,768,,corner,tl,7.0,89,42.0,69
308,keif-aldiafa-generic-stock-ripe-mango-cubes-on-gray-surface.webp,fruits/saudi-fresh-mango-cubes-luxury-hospitality-fruit.webp,1200,799,1200,799,,corner,tl,6.7,84,42.2,43
309,keif-aldiafa-generic-stock-sandwich-cheese-lettuce-tomato-on-white-plate.webp,sandwiches/saudi-catering-turkey-sandwich-soft-roll-tomato.webp,1200,1600,1200,1600,,corner,br,9.4,68,43.2,30
310,keif-aldiafa-generic-stock-sandwich-on-white-plate-on-stainless-counter.webp,sandwiches/saudi-catering-smoked-turkey-cheese-tomato-sandwich.webp,1200,1600,1200,1600,,corner,br,9.4,68,42.5,38
311,keif-aldiafa-generic-stock-seeded-bun-sandwich-with-lettuce.webp,sandwiches/saudi-catering-chicken-cheese-sandwich-long-roll.webp,1200,1600,1200,1600,,corner,br,9.4,74,42.1,47
312,keif-aldiafa-generic-stock-sesame-bun-chicken-salad-sandwich-on-white-plate.webp,sandwiches/saudi-catering-tuna-sandwich-sesame-bun.webp,1200,1600,1200,1600,,corner,tr,9.4,68,42.0,40
313,keif-aldiafa-generic-stock-sesame-coated-balls-with-cream-filling.webp,dates/khalas-sesame-tahini.webp,988,1000,988,1000,,corner,tr,8.2,84,42.4,69
314,keif-aldiafa-generic-strawberries-closeup-stock.webp,fruits/saudi-fresh-strawberries-luxury-hospitality-fruit.webp,1200,900,1200,900,,corner,br,7.1,88,42.1,209
